timestamp,t_sec,P,A,D
03-04-2019 23:00:12:839,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:862,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:874,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:885,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:896,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:907,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:917,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:930,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:942,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:954,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:966,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:977,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:988,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:12:999,0012,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:11,0013,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:22,0013,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:32,0013,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:42,0013,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:64,0013,3.2420832367781918,0.7256572141066899,2.693299167836507
03-04-2019 23:00:13:75,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:90,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:107,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:118,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:129,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:140,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:150,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:162,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:188,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:199,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:211,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:227,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:241,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:253,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:265,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:275,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:286,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:296,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:306,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:329,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:341,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:351,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:363,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:375,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:385,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:396,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:410,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:419,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:442,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:453,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:463,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:475,0013,2.2928738615136743,1.4194078738197624,3.8898524215313546
03-04-2019 23:00:13:487,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:499,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:511,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:522,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:534,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:545,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:557,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:569,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:579,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:590,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
03-04-2019 23:00:13:601,0013,1.5271581189452275,2.2032711301883516,2.118210028543661
